order_id,order_date,ship_date,region,country,customer_segment,product_category,product_subcategory,quantity,unit_price,discount,sales,profit,shipping_cost,order_priority
MRG-2023-10477,2023-01-01,2023-01-05,APAC,India,Corporate,Apparel,Accessories,11,112.82,0.15,1054.87,25.97,39.04,Low
MRG-2023-12220,2023-01-01,2023-01-03,North America,United States,Corporate,Apparel,Outerwear,5,245.51,0.0,1227.55,298.03,23.24,Low
MRG-2023-11217,2023-01-01,2023-01-03,North America,Mexico,Consumer,Home & Living,Furniture,11,307.3,0.15,2873.26,238.94,74.35,Medium
MRG-2023-12015,2023-01-01,2023-01-09,Europe,United Kingdom,Consumer,Home & Living,Furniture,4,378.14,0.3,1058.79,96.95,23.89,Low
MRG-2023-14345,2023-01-01,2023-01-02,North America,Mexico,Consumer,Electronics,Accessories,1,49.76,0.2,39.81,12.2,10.36,Medium
MRG-2023-10101,2023-01-01,2023-01-03,APAC,Japan,Home Office,Apparel,Outerwear,7,370.09,0.1,2331.57,79.09,40.38,High
MRG-2023-13128,2023-01-01,2023-01-09,North America,Mexico,Consumer,Electronics,Audio,3,100.62,0.2,241.49,30.11,26.72,High
MRG-2023-11368,2023-01-01,2023-01-09,Europe,United Kingdom,Corporate,Electronics,Accessories,11,61.19,0.0,673.09,180.77,66.24,Low
MRG-2023-15957,2023-01-01,2023-01-06,Europe,Germany,Consumer,Home & Living,Furniture,7,145.05,0.0,1015.35,407.43,26.37,Medium
MRG-2023-11681,2023-01-01,2023-01-08,Europe,Germany,Consumer,Home & Living,Decor,11,387.1,0.3,2980.67,133.22,48.61,High
MRG-2023-13761,2023-01-02,2023-01-08,APAC,Japan,Corporate,Home & Living,Bedding,8,116.17,0.05,882.89,91.14,48.97,Medium
MRG-2023-12640,2023-01-02,2023-01-04,North America,United States,Corporate,Electronics,Wearables,5,260.76,0.0,1303.8,498.5,26.97,High
MRG-2023-11927,2023-01-02,2023-01-08,Europe,United Kingdom,Consumer,Apparel,Footwear,3,423.01,0.15,1078.68,328.6,28.54,Low
MRG-2023-12875,2023-01-02,2023-01-03,Europe,Spain,Corporate,Electronics,Smart Home,10,79.03,0.15,671.75,-2.59,58.48,Low
MRG-2023-14671,2023-01-02,2023-01-06,North America,United States,Consumer,Home & Living,Decor,5,131.62,0.0,658.1,146.02,14.14,Medium
MRG-2023-10065,2023-01-02,2023-01-05,Europe,Germany,Consumer,Electronics,Smart Home,11,310.0,0.05,3239.5,392.08,69.77,Low
